
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:     -1.3
-0.39394 -0.71682 -1.30000 
-0.39406 -0.71679 -1.30000 
-0.43225 -0.70677 -1.30000 
-0.45455 -0.70092 -1.30000 
-0.46680 -0.69674 -1.30000 
-0.49627 -0.68672 -1.30000 
-0.51515 -0.68032 -1.30000 
-0.52369 -0.67669 -1.30000 
-0.54739 -0.66667 -1.30000 
-0.57125 -0.65664 -1.30000 
-0.57576 -0.65475 -1.30000 
-0.59164 -0.64662 -1.30000 
-0.61133 -0.63659 -1.30000 
-0.63118 -0.62657 -1.30000 
-0.63636 -0.62397 -1.30000 
-0.64860 -0.61654 -1.30000 
-0.66524 -0.60652 -1.30000 
-0.68203 -0.59649 -1.30000 
-0.69697 -0.58767 -1.30000 
-0.69867 -0.58647 -1.30000 
-0.71287 -0.57644 -1.30000 
-0.72722 -0.56642 -1.30000 
-0.74173 -0.55639 -1.30000 
-0.75644 -0.54637 -1.30000 
-0.75758 -0.54560 -1.30000 
-0.76896 -0.53634 -1.30000 
-0.78142 -0.52632 -1.30000 
-0.79404 -0.51629 -1.30000 
-0.80684 -0.50627 -1.30000 
-0.81818 -0.49753 -1.30000 
-0.81957 -0.49624 -1.30000 
-0.83041 -0.48622 -1.30000 
-0.84140 -0.47619 -1.30000 
-0.85256 -0.46617 -1.30000 
-0.86392 -0.45614 -1.30000 
-0.87550 -0.44612 -1.30000 
-0.87879 -0.44332 -1.30000 
-0.88569 -0.43609 -1.30000 
-0.89539 -0.42607 -1.30000 
-0.90526 -0.41604 -1.30000 
-0.91533 -0.40602 -1.30000 
-0.92562 -0.39599 -1.30000 
-0.93618 -0.38596 -1.30000 
-0.93939 -0.38299 -1.30000 
-0.94540 -0.37594 -1.30000 
-0.95409 -0.36591 -1.30000 
-0.96295 -0.35589 -1.30000 
-0.97204 -0.34586 -1.30000 
-0.98137 -0.33584 -1.30000 
-0.99100 -0.32581 -1.30000 
-1.00000 -0.31677 -1.30000 
-1.00074 -0.31579 -1.30000 
-1.00848 -0.30576 -1.30000 
-1.01640 -0.29574 -1.30000 
-1.02453 -0.28571 -1.30000 
-1.03292 -0.27569 -1.30000 
-1.04163 -0.26566 -1.30000 
-1.05072 -0.25564 -1.30000 
-1.06027 -0.24561 -1.30000 
-1.06061 -0.24528 -1.30000 
-1.06733 -0.23559 -1.30000 
-1.07447 -0.22556 -1.30000 
-1.08185 -0.21554 -1.30000 
-1.08953 -0.20551 -1.30000 
-1.09760 -0.19549 -1.30000 
-1.10616 -0.18546 -1.30000 
-1.11535 -0.17544 -1.30000 
-1.12121 -0.16952 -1.30000 
-1.12368 -0.16541 -1.30000 
-1.12990 -0.15539 -1.30000 
-1.13632 -0.14536 -1.30000 
-1.14302 -0.13534 -1.30000 
-1.15014 -0.12531 -1.30000 
-1.15788 -0.11529 -1.30000 
-1.16651 -0.10526 -1.30000 
-1.17651 -0.09524 -1.30000 
-1.18182 -0.09071 -1.30000 
-1.18448 -0.08521 -1.30000 
-1.18933 -0.07519 -1.30000 
-1.19401 -0.06516 -1.30000 
-1.19855 -0.05514 -1.30000 
-1.20300 -0.04511 -1.30000 
-1.20764 -0.03509 -1.30000 
-1.21342 -0.02506 -1.30000 
-1.22515 -0.01504 -1.30000 
-1.24242 -0.01112 -1.30000 
-1.25017 -0.00501 -1.30000 
-1.25017 0.00501 -1.30000 
-1.24242 0.01112 -1.30000 
-1.22515 0.01504 -1.30000 
-1.21342 0.02506 -1.30000 
-1.20764 0.03509 -1.30000 
-1.20300 0.04511 -1.30000 
-1.19855 0.05514 -1.30000 


# Contour 1, label:       -1
0.70440 -0.84712 -1.00000 
0.69697 -0.85671 -1.00000 
0.69659 -0.85714 -1.00000 
0.68799 -0.86717 -1.00000 
0.67944 -0.87719 -1.00000 
0.67094 -0.88722 -1.00000 
