
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:     -1.9
0.21299 -0.79574 -1.90000 
0.21212 -0.79779 -1.90000 
0.20720 -0.80827 -1.90000 
0.20134 -0.82080 -1.90000 
0.19555 -0.83333 -1.90000 
0.18983 -0.84586 -1.90000 
0.18417 -0.85840 -1.90000 
0.17856 -0.87093 -1.90000 
0.17301 -0.88346 -1.90000 
0.16750 -0.89599 -1.90000 
0.16202 -0.90852 -1.90000 
0.15657 -0.92105 -1.90000 
0.15152 -0.93265 -1.90000 
0.15105 -0.93358 -1.90000 
0.14454 -0.94612 -1.90000 
0.13820 -0.95865 -1.90000 
0.13202 -0.97118 -1.90000 
0.12599 -0.98371 -1.90000 
0.12011 -0.99624 -1.90000 
0.11435 -1.00877 -1.90000 
0.10869 -1.02130 -1.90000 

-0.06440 1.10902 -1.90000 
-0.05844 1.12155 -1.90000 
-0.05284 1.13409 -1.90000 
-0.04755 1.14662 -1.90000 
-0.04244 1.15915 -1.90000 
-0.03733 1.17168 -1.90000 
-0.03184 1.18421 -1.90000 
-0.03030 1.18684 -1.90000 
0.03030 1.18684 -1.90000 
0.03184 1.18421 -1.90000 
0.03733 1.17168 -1.90000 
0.04244 1.15915 -1.90000 
0.04755 1.14662 -1.90000 
0.05284 1.13409 -1.90000 
0.05844 1.12155 -1.90000 
0.06440 1.10902 -1.90000 
0.07077 1.09649 -1.90000 
0.07757 1.08396 -1.90000 
0.08481 1.07143 -1.90000 
0.09091 1.06128 -1.90000 
0.09204 1.05890 -1.90000 
0.09758 1.04637 -1.90000 
0.10311 1.03383 -1.90000 
0.10869 1.02130 -1.90000 
0.11435 1.00877 -1.90000 
0.12011 0.99624 -1.90000 
0.12599 0.98371 -1.90000 
0.13202 0.97118 -1.90000 
0.13820 0.95865 -1.90000 
0.14454 0.94612 -1.90000 
0.15105 0.93358 -1.90000 
0.15152 0.93265 -1.90000 
0.15657 0.92105 -1.90000 
0.16202 0.90852 -1.90000 
0.16750 0.89599 -1.90000 
0.17301 0.88346 -1.90000 
0.17856 0.87093 -1.90000 
0.18417 0.85840 -1.90000 
0.18983 0.84586 -1.90000 
0.19555 0.83333 -1.90000 
0.20134 0.82080 -1.90000 
0.20720 0.80827 -1.90000 
